source,concept,description
SQuAD Dataset,Meymandi Tiyatrosu ne zaman açıldı?,2008
SQuAD Dataset,North Carolina State University'de hangi tiyatrolar var?,Stewart ve Thompson Tiyatroları
SQuAD Dataset,Auguste Rodine ne zaman sergilendi?,2000
SQuAD Dataset,Müze sahip oldukları eserleri nasıl elde etti?,kamu fonları
SQuAD Dataset,Carolina Hurricanes ne zaman Raleigh'de başladı?,1997
SQuAD Dataset,Kasırgalar ilk iki sezonunu nerede oynadılar?,Greensboro Coliseum
SQuAD Dataset,Carolina Hurricanes Stanley Kupası'nı ne zaman kazandı?,2006
SQuAD Dataset,Raleigh'deki GBA ekibinin adı neydi?,Raleigh Bullfrogs
SQuAD Dataset,Raleigh Cougars ne zaman oynadı?,1997-1999
SQuAD Dataset,Carolina Courage nasıl bir takımdı?,Kadınlar Birleşik Futbol
SQuAD Dataset,Carolina Courage Kurucu Kupası'nı hangi yıl kazandı?,2002
SQuAD Dataset,North Carolina State University futbol takımı nerede oynuyor?,Carter-Finley Stadyumu
SQuAD Dataset,Carter Finley Stadyumu ne kadar büyük?,Kuzey Carolina'daki üçüncü büyük futbol stadyumu
SQuAD Dataset,Raleigh'de kaç site var?,150
SQuAD Dataset,2010 yılında Raleigh'de kaç cinayet vardı?,14
SQuAD Dataset,2010 yılında kaç tane taşıt hırsızlığı olayı yaşandı?,870
SQuAD Dataset,Raleigh'deki devlet okullarını kim işletiyor?,Wake County Devlet Okulu Sistemi
SQuAD Dataset,Raleigh'de kaç tane mıknatıs okulu var?,üç
SQuAD Dataset,Raleigh'deki bir liseden ne derece alabilirsiniz?,Uluslararası Bakalorya
SQuAD Dataset,Raleigh'in alternatif liseleri var mı?,Raleigh'in iki alternatif lisesi de var.
SQuAD Dataset,Bölgenin ana havaalanı nedir?,"Raleigh-Durham Uluslararası Havaalanı,"
SQuAD Dataset,Havaalanı uluslararası olarak kaç varış noktası sunuyor?,35
SQuAD Dataset,Daha önce havaalanında Terminal 2 ne deniyordu?,Terminal C
SQuAD Dataset,Üçgen Transit başka nereye gidiyor?,"Raleigh-Durham Uluslararası Havaalanı, Research Triangle Park"
SQuAD Dataset,RDN ne anlama geliyor?,Kayıtlı diyetisyen beslenme uzmanları
SQuAD Dataset,Kronik hastalıklarda beslenmenin rolü hakkında kim diyet önerisi sunar?,Sertifikalı Klinik Beslenme Uzmanları
SQuAD Dataset,Hükümet düzenlemesi hangi sağlık uzmanı için daha evrenseldir?,RDN
SQuAD Dataset,Tipik olarak obezite ve kronik hastalık konusunda kim uzmanlaşmıştır?,Sertifikalı Beslenme Uzmanı
SQuAD Dataset,Beslenme çalışması hangi zaman diliminde başladı?,MÖ 6. yüzyıl
SQuAD Dataset,"""Qi"" nin Avrupa eşdeğeri nedir?",pneuma
SQuAD Dataset,Galen doktrinleri ne zamandır kullanılıyor?,1500 yıl
SQuAD Dataset,Galen hangi ünlü imparatora doktor olarak hizmet etti?,Marcus Aurelius
SQuAD Dataset,Regimen sanitatis Salernitanum'daki Salerno Okulu'nda kim oturdu?,Benedictine rahipleri
SQuAD Dataset,Her bir özellik çifti sözde ne içeriyordu?,dört mizah
SQuAD Dataset,1500'lerde Galen'i kim eleştirdi?,Paracelsus
SQuAD Dataset,Hangi ünlü sanatçı Galen'in teorilerini kabul etmedi?,Leonardo da Vinci
SQuAD Dataset,Yanan bir mum neyle karşılaştırılabilirdi?,metabolizma
SQuAD Dataset,Hangi bilim adamı sindirim süreci için bir model oluşturabildi?,Herman Boerhaave
SQuAD Dataset,Hangi diyet bileşeni ölüme yol açan köpeklere beslenmedi?,protein
SQuAD Dataset,Kim ilk olarak yiyecekleri kategorilere ayırmaya başladı?,William Prout
SQuAD Dataset,"Justus von Liebig, hayvanların bitkilerden protein aldıkları inancını kimlerle tartıştı?",Jean-Baptiste Dumas
SQuAD Dataset,Önde gelen bir organik kimyager olmasına rağmen Liebig hangi kredilere sahip değildi?,hayvan fizyolojisi
SQuAD Dataset,Beriberi için bilimsel terim nedir?,endemik nevrit
SQuAD Dataset,Beriberi sorunlarından başka hangi büyük semptom neden oldu?,felç
SQuAD Dataset,Japon denizcinin diyetinin beriberi geliştirmelerinin nedeni olduğunu kim gözlemledi?,Kanehiro Takaki
SQuAD Dataset,Tiroid bezlerinde hangi element bulunabilir?,iyot
SQuAD Dataset,Hangi grup yerli beriberi'den acı çekti?,Java
SQuAD Dataset,Yerlilerle kim diyet sorunlarını çözmeye yardımcı olmak için çalıştı?,Christiaan Eijkman
SQuAD Dataset,"Hangi amino asit, farelerin refahına yardımcı olabilir, ancak bunların büyümesine gerek yoktur?",triptofan
SQuAD Dataset,"Hopkins, eksiklik hastalıklarını önlemeye yardımcı olmak için kalori, protein ve mineraller dışında ne gerektiğine inanıyordu?",şüphesiz diyetetik faktörler
SQuAD Dataset,"Diyetle ilgili, dört yılın tamamlanmasını gerektiren hangi deney yapıldı?",tek taneli deney
SQuAD Dataset,Morina karaciğeri yağı köpeklerde iyileşmeye yardımcı olabilecek neydi?,raşitizm
SQuAD Dataset,"""Gıda faktörü X"" olarak adlandırılan şey nedir?",E vitamini
SQuAD Dataset,Makrobesinler enerji dışında başka hangi önemli özellikleri sağlar?,yapısal malzeme
SQuAD Dataset,Hangi besin maddesi genellikle gram başına yaklaşık 37 kJ sağlar?,yağlar
SQuAD Dataset,Gliserol omurgalarına bağlı yağ asidi monomerleri ne oluşturur?,trigliseritler
SQuAD Dataset,"Yağ asitleri ile ilgili hangi özellik, diyette önemli bir bileşen olmasını gerektirir?",vücutta sentezlenemez
SQuAD Dataset,Proteinin çekirdek bileşenini oluşturan amino asitlerin ortak noktası nedir?,azot
SQuAD Dataset,"Geleneksel olarak hızlı bir şekilde emildiğine inanılan şey, kan - glikoz seviyelerinin hızla yükselmesine neden oldu?",basit karbonhidratlar
SQuAD Dataset,"Basit karbonhidratlar metabolik yollardan geçtiğinde, kısmi katabolizmadan sonra ne olur?",glikoz
SQuAD Dataset,İnsan vücudunda gerekli olan glikozu uyarabilen nedir?,insülin üretimi
SQuAD Dataset,İnsüline bağlanan beta hücreleri nerede bulunur?,pankreas
SQuAD Dataset,Hangi karbonhidrat örneği insanlarda tam olarak emilemez?,Diyet lifi
SQuAD Dataset,Başarılı bir şekilde metabolize edildiğinde diyet lifi gram başına kaç kilokalori enerji üretebilir?,dört
SQuAD Dataset,Diyet lifi oluşturan ana bileşen nedir?,selüloz
SQuAD Dataset,Doymuş bir yağdaki tüm karbonlara bağlı olan hangi element vardır?,hidrojen
SQuAD Dataset,Bir trans yağ ne tür yağlar olarak sınıflandırılabilir?,doymamış yağ
SQuAD Dataset,Diyetteki doymuş yağlar tipik olarak nereden gelir?,hayvan kaynakları
SQuAD Dataset,Hangi tür yağ genellikle en sağlıklı olarak kabul edilir?,Doymamış yağlar
SQuAD Dataset,Doymamış yağların oda sıcaklığında tipik olarak ne tür bir durumu vardır?,sıvılar
SQuAD Dataset,En azından insan sağlığı için kaç yağ asidi gereklidir ve vücut tarafından üretilmek yerine tüketilmelidir?,iki
SQuAD Dataset,AA'nın membranlardan salınmasını ne önleyebilir?,Omega-3 EPA
SQuAD Dataset,Delta-5-desatüraz enzimini kontrol edebilen insülin dışında bir hormon örneği nedir?,glukagon
SQuAD Dataset,Vücudumuzda meydana gelen kimyasal reaksiyonları düzenleyen enzimleri öncelikle oluşturan nedir?,Proteinler
SQuAD Dataset,Her proteinin birincil bileşeni nedir?,amino asitler
SQuAD Dataset,Yeni protein üreten vücut sürecini ifade eden terim nedir?,protein retansiyonu
SQuAD Dataset,Vücudun artık mevcut olan amino asitlere ihtiyacı olmadığında hangi atılım kaybedilir?,idrar
SQuAD Dataset,İnsan vücudunun potansiyel olarak tam bir protein kaynağı oluşturma şansına sahip olması için ne gerekir?,iki eksik protein kaynağı
SQuAD Dataset,Amino asitlerin glikoza dönüşümü için kullanılan terim nedir?,glukoneogenez
SQuAD Dataset,Kim 1945'te su alımı tavsiyesinde bulundu?,Ulusal Araştırma Konseyi Gıda ve Beslenme Kurulu
SQuAD Dataset,Tüketilen her yiyecek kalorisi için ne kadar su alınmalıdır?,1 mililitre
SQuAD Dataset,İnsanlar içtiğimiz içeceklerden gelmeyen suyun% 20'sini nereden alıyorlar?,Gıda
SQuAD Dataset,"Gebe kadınlar, gebe olmayan ortalama bir kadına kıyasla ne kadar daha fazla su tüketmelidir?",300 mL / gün
SQuAD Dataset,Emziren kadınlar neden su tüketimini arttırmalıdır?,İlave sıvı çıkışını telafi etmek için
SQuAD Dataset,Diyet mineralleri ne tür elementlerdir?,inorganik kimyasal elementler
SQuAD Dataset,Hangi formda mineraller daha kolay emilmelidir?,iyonik formlar
SQuAD Dataset,Guatr'ı önleyen yapay olarak eklenen en ünlü mineral nedir?,iyot
SQuAD Dataset,D vitamininin sentezlenmesi için neler gerekir?,UVB radyasyonu
SQuAD Dataset,Temel bir diyet besini olarak kabul edilmeyen vitamin benzeri bir bileşik örneği nedir?,karnitin
SQuAD Dataset,Kolin neye bir örnek değildir?,vitaminler
SQuAD Dataset,"""Potansiyel olarak zarar verici"" bileşikleri tanımlamak için kullanılabilecek başka bir terim nedir?",mutasyona neden olan
SQuAD Dataset,Oksitleyiciler nedir?,elektron alıcıları
SQuAD Dataset,Vücudun normal çalışması için serbest radikalleri nötralize etmek için ne kullanılmalıdır?,antioksidan bileşikler
SQuAD Dataset,A vitamini vücudun hangi bölgesini korur?,yağ bölgeleri
SQuAD Dataset,Bağırsak florasının büyük bir nüfusu nerede bulabilir?,Hayvan bağırsakları
SQuAD Dataset,Kalp hastalığı ve obezite ne tür hastalıklara örnektir?,"""Batı"" hastalıkları"
SQuAD Dataset,Hangi ülkede farklı bölgelerde kanser ve kalp hastalığının varlığı hakkında bir çalışma yapıldı?,Çin
SQuAD Dataset,"“Batı” hastalıklarının varlığında, sebze diyetlerinin aksine öncelikle hayvan temelli diyetleri olan topluluklarda ne kadar artış oldu?",100 kat
SQuAD Dataset,Hangi hastalığın muhtemelen et ve süt ürünlerinde yüksek diyetlerin sonucu olduğu söylendi?,kanserler
SQuAD Dataset,İnsanların bitkisel gıda diyetinin tamamını izlemesini öneren bir rehber kim yayınladı?,United Healthcare / Pacificare
SQuAD Dataset,Hangi dergi insanların bütün bir bitki gıda diyetini izlemesini tavsiye etti?,National Geographic
SQuAD Dataset,Hangi yıl National Geographic'te diyet önerileriyle ilgili bir kapak makalesi vardı?,2005
SQuAD Dataset,Kapak makalesi için kaç nüfus incelenmiş ve incelenmiştir?,üç
SQuAD Dataset,"Meyve ve sebzeler dışında, sağlıklı beslenmenin bir parçası olması için başka hangi ürünler şiddetle tavsiye edilir?",kepekli tahıllar
SQuAD Dataset,"Azottan başka, etobur ve otçul diyeti arasında başka hangi elementler değişir?",karbon
SQuAD Dataset,Mantarlarda genellikle azot içeriğinin yüzde kaçı bulunur?,% 5 ila% 10
SQuAD Dataset,Şeker ve lif dışında karbonhidratlar başka nelerden oluşur?,nişasta
SQuAD Dataset,Vücudun hangi kısmı boyunca besin hücreleri besleme hücrelerine taşınır?,kan dolaşımı
SQuAD Dataset,Yutulan moleküllerde bağları koparabilen nedir?,Sindirim suları
SQuAD Dataset,Yutulan gıdalardan salınan moleküller hangi işlemle yapılır?,sindirim süreçleri
SQuAD Dataset,Emilmeyen madde ve atık ürünler hangi yolla atılır?,dışkı
SQuAD Dataset,Emilim çalışırken hem dışkıyı hem de başka hangi dışkıyı incelemek önemlidir?,idrar
SQuAD Dataset,"Zaman alıcı dışında, uzunlukları ve değişken sayıları nedeniyle beslenme çalışmaları başka nelerdir?",pahalı
SQuAD Dataset,Bitkiler toprakta bulunan temel elementleri nasıl emer?,köklerinden
SQuAD Dataset,Yapraklara sahip olmak bitkilerin hangi besiyerini emmesine izin verir?,hava
SQuAD Dataset,Karbonhidrat elde etmek için bitkilerin maruz kaldığı süreç nedir?,fotosentez
SQuAD Dataset,Bitkilerin köklerinden topraktan besin topladığı süreç nedir?,katyon değişimi
SQuAD Dataset,Bir bitkideki yaprağın hangi kısmı karbondioksit alır ve oksijeni serbest bırakır?,stoma
SQuAD Dataset,Çevrenin serbest bırakılması ve kontaminasyonu insan ırkı dışındaki önemli sistemleri etkiler mi?,ekosistem
SQuAD Dataset,ABD'de lisanslı diyetisyenlerin kısaltması nedir?,LD
SQuAD Dataset,Diyetisyenler ABD'de böyle tanınabilmek için Amerikan Diyetisyenler Derneği dışında kimlerle kayıt yaptırmak zorundadır?,Diyetetik Kayıt Komisyonu
SQuAD Dataset,Gıda ve diyet söz konusu olduğunda hangi spesifik terim düzensizdir ancak yine de profesyoneller ile ilişkilidir?,diyetisyen
SQuAD Dataset,"Beslenme standartları ve öneriler, ABD Tarım Bakanlığı ile diğer hangi departman arasındaki ortak çaba ile üretilir?",ABD Sağlık ve İnsan Hizmetleri Bakanlığı
SQuAD Dataset,Akıllı Bedenler girişimi ilk ne zaman piyasaya sürüldü?,2005
SQuAD Dataset,Mississippi Delta bölgesinde insanların yüzde kaçının düşük okuryazarlık becerisine sahip olduğu bulundu?,52
SQuAD Dataset,Karşılaştırmaları güçleştiren NAAL ve Delta çalışması arasında hangi birincil fark vardı?,metodolojik farklılıklar
SQuAD Dataset,Mississippi Delta çalışmasının bir sağlık okuryazarlığı sorunu tespit ettiğini öne süren çalışmanın ana yazarı kimdi?,Zoellner
SQuAD Dataset,Mississippi Delta çalışması sırasında My Pyramid grafiği kaç yıldır yayınlandı?,iki
SQuAD Dataset,Gelir düzeyinin araştırmada hangi sonuçla bir korelasyon korelasyonu olduğu bulundu?,beslenme okuryazarlığı
SQuAD Dataset,"Yoksulluk içinde yaşayan büyük insanların yanı sıra, sağlıklı gıda tercihleri için fırsatta bir azalmayla sonuçlanan sosyoekonomik kısıtlama başka ne kabul edilir?",düşük eğitim seviyeleri
SQuAD Dataset,Kimin aslında beslenmecilik kavramını doğurduğu iddia ediliyor?,Gyorgy Scrinis
SQuAD Dataset,"Kavramın yaratıcısı olmasa da, beslenme fikrini kim popülerleştirdi?",Michael Pollan
SQuAD Dataset,Organizasyonlar beslenme içeriğini veya kaynaklarını iyileştirmek için neyi hedefliyor?,okul kafeteryaları
SQuAD Dataset,Sağlık ve beslenmenin eğitim açısından bir bağlantısı olduğu gösterilmiştir?,genel eğitim başarısı
SQuAD Dataset,Amerikalı öğrencilerin yüzde kaçı şu anda önerilen porsiyon meyve ve sebzeleri yediğini bildiriyor?,10
SQuAD Dataset,1951'de hangi hayvanın beslenme yetersizliği nedeniyle öğrenme davranışı üzerinde olumsuz bir etkisi olduğu gösterilmiştir?,fareler
SQuAD Dataset,Hangi sağlık sorunu şimdi gelişmekte olan ülkelerde yaygın bir sorun haline geliyor?,Kanser
SQuAD Dataset,Gelişmekte olan ülkelerde hangi organizasyon kanser üzerine bir çalışma yaptı?,Uluslararası Kanser Araştırma Ajansı
SQuAD Dataset,Azalan insülin fonksiyonu başka hangi terimlerle de geçebilir?,insülin direnci
SQuAD Dataset,"Azalan insülin fonksiyonunun dışında, birçok hastalık durumuna başka ne katkıda bulunur?",yaşam tarzı kaynaklı hiperinsülinemi
SQuAD Dataset,Metabolik sendrom hangi sağlık sorununu ifade eden bir terimdir?,insülin direnci
SQuAD Dataset,Hiperinsülineminin vücutta hangi önemli moleküllerin seviyeleri üzerinde olumsuz bir etkisi vardır?,prostaglandin PGE1 / PGE2
SQuAD Dataset,Tip 2 diyabet ve / veya obeziteden muzdarip olan hemen hemen tüm bireylerin hangi özelliklere sahip oldukları bulunmuştur?,belirgin insülin direnci
SQuAD Dataset,Obezite hangi hormona direnç gösterebilir?,leptin
SQuAD Dataset,"Sözde kısır döngüde, döngüye devam etmek için obeziteyi ne şiddetlendirir?",insülin / leptin direnci
SQuAD Dataset,"Yağ depolaması dışındaki döngünün bir özelliği, sürekli olarak yüksek neyin uyarılmasıdır?",insülin / leptin
SQuAD Dataset,İnsülin ve leptin normal olarak vücutta hangi işlevi sağlar?,hipotalamusa tokluk sinyalleri
SQuAD Dataset,İnsülin / leptin direncinin insülin / leptin işlevi üzerindeki etkisi nedir?,bu sinyali azalt
SQuAD Dataset,Hangi tür olaylarda insanlar çok fazla su içen insanlar bulabilir?,uzun mesafeli dayanıklılık
SQuAD Dataset,"Bir insan hiponatremi çekiyorsa, ortaya çıkabilecek hasarın ana nedeni nedir?",beynin şişmesi
SQuAD Dataset,"Diyabet, obezite ve kalp hastalığı vakalarındaki artış, hangi ürünün tüketimindeki artışa kadar izlenebilir?",şeker
SQuAD Dataset,Amerika Birleşik Devletleri'nde son 30 yılda yetişkinler arasında obezite artışı ne oldu?,iki kattan fazla
SQuAD Dataset,ABD'de şu an obez yetişkinlerin yüzdesi nedir?,35
SQuAD Dataset,LDL terimi ne anlama geliyor?,Düşük yoğunluklu lipoprotein
SQuAD Dataset,Sanayi Devrimi kabaca ne zaman başladı?,iki yüz yıl önce
SQuAD Dataset,Hangi teknoloji öncelikle yiyeceklerin taze kalmasına yardımcı olmaktan sorumludur?,Soğutma
SQuAD Dataset,Pastörizasyon ve otoklavlama ne tür tekniklerin örnekleridir?,ısıtma
SQuAD Dataset,"Oksitlenmiş yağların dışında, işlenmiş gıdalarda bulunabilecek zararlı kabul edilen başka bir madde nedir?",trans yağ asitleri
SQuAD Dataset,Pirincin parlatılması sırasında hangi vitamin uzaklaştırılır?,tiamin
SQuAD Dataset,"Bebeklere beslenen süt, bakteriyel hastalığı kontrol altına almak için hangi tedaviden geçti?",Pastörizasyon
SQuAD Dataset,Sütün pastörizasyonu sırasında neyin yok edildi?,C vitamini
SQuAD Dataset,Bu tür bir ekonomide gıda işleme endüstrisinin genel önceliği olarak algılanan nedir?,uzun raf ömrü ile ucuz gıdaların etkili üretimi
SQuAD Dataset,Daha pahalı taze gıdalar işlenmiş gıda ile ilgili besin değeri ne kadardır?,üstün
SQuAD Dataset,Kırım Savaşı hangi yıl başladı?,1853
SQuAD Dataset,Kırım Savaşı hangi yılı bitirdi?,1856
SQuAD Dataset,Doğu Ortodoks Hıristiyanların haklarını kim destekledi?,Rusya
SQuAD Dataset,Kim Ortodoksların koruma altına alınmasını istedi?,Nicholas
SQuAD Dataset,Savaş nerede başladı?,Balkanlar
SQuAD Dataset,Rus birlikleri ilk olarak hangi illeri devraldı?,modern Romanya
SQuAD Dataset,Osmanlılar kim tarafından yönetildi?,Ömer Paşa
SQuAD Dataset,Türkler takviye sağlamaya çalıştıklarında nerede durdular?,Sinop
SQuAD Dataset,Osmanlı'nın çökeceğinden korktuklarında güçlerini Gelibolu'ya kim acele etti?,Fransa ve İngiltere
SQuAD Dataset,Müttefikler hangi yıl Kırım yarımadasında indi?,1854
SQuAD Dataset,Balaclava Muharebesi savaşı hangi ayda gerçekleşti?,Ekim
SQuAD Dataset,Kırım yarımadası hangi şehirde bulunuyor?,Sivastopol
SQuAD Dataset,Sivastopol'un düşmesi ne kadar sürdü?,on bir ay
SQuAD Dataset,Batıdan istila edilmekten korktuklarında kim barış istiyordu?,Rusya
SQuAD Dataset,Paris Antlaşması ne zaman imzalandı?,30 Mart 1856
SQuAD Dataset,Kırım Savaşı sırasında ilk olarak hangi modern teknolojiler kullanıldı?,"patlayıcı deniz kabukları, demiryolları ve telgraflar"
SQuAD Dataset,Sonunda Yunanistan nihayet bağımsız bir devlet haline geldi?,1830
SQuAD Dataset,Fransa hangi yıl Alger'e taşındı?,1830
SQuAD Dataset,1838'de Suriye'deki güç eksikliğinden kim memnun değildi?,Mısırlı Muhammed Ali
SQuAD Dataset,Nezib Savaşı'nda Osmanlılar kime kaybetti?,Mısırlılar
SQuAD Dataset,Nezib Muharebesi hangi yılda gerçekleşti?,1839
SQuAD Dataset,"Rusya, Karadeniz'deki daha sıcak limanlara doğru hareket ederken ilk olarak kiminle ilgili sorun yaşadı?",Ukrayna Kazakları
SQuAD Dataset,"Rus emperyal döneminde, Ukrayna'nın güneyindeki başka hangi isim biliniyordu?",Yeni Rusya
SQuAD Dataset,Rusya güneyi ne inşa edemedi?,demiryolu ağı
SQuAD Dataset,Kimileri Rus ordusunun sadece iyi olduğunu düşündü?,geçit törenleri
SQuAD Dataset,Fransa ve İngiltere hangi yıl Rusya'ya savaş ilan etti?,1854
SQuAD Dataset,Fransa ve İngiltere'nin Rusya'ya savaş ilan etmesinden hangi birey sorumluydu?,Napolyon III
SQuAD Dataset,Filistin'deki kutsal yerlerde Roma Katolik haklarının korunmasını kim talep etti?,Charles de La Valette
SQuAD Dataset,Daha önce kim Doğuş Kilisesi'nin anahtarlarını elinde tuttu?,Yunan Ortodoks Kilisesi
SQuAD Dataset,İmparatorluk Rusçasını yaymak istemediklerini kim açıkladı?,Nicholas
SQuAD Dataset,1853'te İngiliz Hükümeti Başbakanı kimdi?,Lord Aberdeen
SQuAD Dataset,Pruth Nehri'ne kim ordu gönderdi?,Çar
SQuAD Dataset,Pruth Nehri boyunca ordulara kim emretti?,Mareşal İvan Paskevich ve General Mikhail Gorchakov
SQuAD Dataset,Rus askerleri hangi yıl Pruth Nehri'ni geçtiler?,1853
SQuAD Dataset,Moldovya ve Wallachia'daki Ortodoks Hristiyanlar üzerinde vasi özel rolüne kimler verildi?,Rusya
SQuAD Dataset,Viyana Konferansı barış şartlarını Ruslara kim teslim etti?,Kont Karl von Buol
SQuAD Dataset,Kont Karl von Buol Viyana Konferansı haberini Ruslara hangi yılda verdi?,1853
SQuAD Dataset,Kont Karl von Buol'un önerisini kim onayladı?,I. Nicholas
SQuAD Dataset,30 Kasım 1853'te hangi savaş gerçekleşti?,Sinop Savaşı
SQuAD Dataset,Ruslar Sinop'a ne gönderdi?,bir filo
SQuAD Dataset,"Limana demirlenirken, Ruslar neyi yok ettiler?",Osmanlı fırkateynleri ve korvetlerinin devriye filosu
SQuAD Dataset,Macaristan devrimi hangi yılda gerçekleşti?,1848
SQuAD Dataset,Macar devriminin sonucu nedeniyle Avusturya'nın yanında olacağını kim hissetti?,Nicholas
SQuAD Dataset,Rus kuvvetlerinin beylikleri terk etmesini kim ister?,İngiltere ve Fransa
SQuAD Dataset,Osmanlı ültimatomu hangi yılda gerçekleşti?,1853
SQuAD Dataset,"Calafat'ın 9 mil kuzeyinde, Osmanlı kuvvetlerinin Ruslara saldırdığı köyün adı nedir?",Chetatea veya Cetate
SQuAD Dataset,1854 baharında Dobruja'yı kim ilerletti?,Ruslar
SQuAD Dataset,Ruslar Dobruja'ya ulaşmak için hangi nehri geçtiler?,Tuna Nehri
SQuAD Dataset,Silistre'ye saldırdıklarında Rusların askerleri nasıl oldu?,60.000 asker
SQuAD Dataset,Silistre kuşatması ne zaman sona erdi?,23 Haziran 1854
SQuAD Dataset,Rusların Vidin'e saldırmasını kim durdurdu?,Avusturya kuvvetleri
SQuAD Dataset,Vidin saldırısını durdururken Avusturyalı güçlerin erkekleri nasıl oldu?,280.000
SQuAD Dataset,Moldovya şehrine girdiklerinde Ruslar hangi nehri geçtiler?,River Pruth
SQuAD Dataset,Kim Türklere karşı ayaklanma belirtisi göstermedi?,Ortodoks Hıristiyanlar
SQuAD Dataset,Rusya ile Türkiye arasındaki anlaşmadan sonra Avusturyalılar kimler katılmaya karar verdiler?,Türkiye
SQuAD Dataset,Tuna Nehri'ni Wallachia'ya geçerken Türklere kim liderlik eder?,Ömer Paşa
SQuAD Dataset,Türkler hangi yılda Tuna'yı Wallachia'ya geçtiler?,1854
SQuAD Dataset,"Ömer Paşa, Tuna'yı Wallachia'ya geçtikten sonra Ruslara hangi şehirde saldırdı?",Giurgiu
SQuAD Dataset,Rus birliklerine Beylikleri terk etmeleri emri verilmiş mi?,Çar Nicholas I
SQuAD Dataset,Karadeniz filosunun çoğunun bulunduğu liman neredeydi?,Sivastopol
SQuAD Dataset,Karadeniz'de Ruslar kaç tane silah fırkateynini kaybetti?,dört
SQuAD Dataset,Karadeniz'de Ruslar kaç tane 84 silahlı iki kat kaybetti?,on iki
SQuAD Dataset,Ruslar hangi yıl Wallachia ve Moldavya'dan ayrıldı?,1854
SQuAD Dataset,Kırım kampanyası hangi yılda başladı?,1854
SQuAD Dataset,Ordu ne zaman güneydoğuya yürüdü?,25 Eylül
SQuAD Dataset,Ortak komutanlar kimdi?,Raglan ve St Arnaud
SQuAD Dataset,Sürekli saldırı ne zaman başladı?,17 Ekim
SQuAD Dataset,Sürekli saldırı başladığında kaç tane silah ateşleniyordu?,126 silah
SQuAD Dataset,Kim öğleden sonra saldırıya başlamak istedi?,İngiliz
SQuAD Dataset,Rus süvarilerinin hareketine kim karşı çıktı?,Ağır Tugay
SQuAD Dataset,Pozisyonlarını ilerletmeleri için emri kim gönderdi?,Lord Raglan
SQuAD Dataset,Lord Raglan'ın ilerleme önerisini kim görmezden geldi?,Yerel komutanlar
SQuAD Dataset,Balaclava Vadisi'nde ilerlerken Cardigan kimden ateş altındaydı?,Rus pilleri
SQuAD Dataset,Hafif Tugayı sırasında Cardigan kaç kişi kaybetti?,278
SQuAD Dataset,Hafif Tugay hakkındaki ünlü şiiri kim yazdı?,Alfred Lord Tennyson
SQuAD Dataset,Kış aylarında kara operasyonlarını durduran nedir?,kötüleşen arz durumu
SQuAD Dataset,HMS Prens'in batmasına ne sebep oldu?,fırtına
SQuAD Dataset,Ocak ayında bir mühendislik ekibiyle neler geldi?,Bir tramvay
SQuAD Dataset,Fransızlar savunmalarında etkili olduğuna inanan neydi?,Malakoff
SQuAD Dataset,Mamelon hangi banliyö komününün önündeki bir tepede bulunur?,Malakoff
SQuAD Dataset,Haftalarca savaştıktan sonra Ruslar neyi kontrol etmeye devam ettiler?,Mamelon
SQuAD Dataset,30 Haziran 1855'te ölen garnizon komutanı kimdi?,Amiral Nakhimov
SQuAD Dataset,28 Haziran 1855'te hangi rakam öldü?,Raglan
SQuAD Dataset,Ağustos ayı boyunca Ruslar ne saldırmaya çalıştı?,Balaclava'daki üs
SQuAD Dataset,Tchernaya savaşında kim yenildi?,Ruslar
SQuAD Dataset,Her iki tarafta da hazırlıksız kavgaya neden olan ne inşa ediliyordu?,ileri tüfek çukurları ve savunma pozisyonları
SQuAD Dataset,Malakoff'un yakalanması hangi ayda gerçekleşti?,Eylül
SQuAD Dataset,Kim Malakoff'u geri alamadı?,Rus savunmaları
SQuAD Dataset,Büyük Redan'ın kontrolünü kim aldı?,İngiliz
SQuAD Dataset,HMS Jasper'ı kim havaya uçurdu?,Kazaklar
SQuAD Dataset,Müttefik donanması hangi tarihte Taganrog Körfezi'nden ayrıldı?,2 Eylül
SQuAD Dataset,Üçüncü kuşatma girişimi neden başarısız oldu?,şehir zaten güçlendirilmişti
SQuAD Dataset,Bir gece saldırısı sırasında Saint Nicholas'ın sınır cephesini kim ele geçirdi?,Türkler
SQuAD Dataset,Cholok Nehri'ni geçerken Türklerin kaç askeri vardı?,20000 asker
SQuAD Dataset,Poti ve Redut Kale'deki görevlerinden vazgeçtikten sonra Ruslar nereye çekildi?,Marani
SQuAD Dataset,Türkleri Batum'a geri çeken kim?,Eristov
SQuAD Dataset,Ana kuvvetler neredeydi?,Kars ve Gümrü
SQuAD Dataset,"4 Ağustos'ta, karşı tarafın geri çekildiğini kim düşünüyor?",Ruslar
SQuAD Dataset,Tarafsız kalmak için kim gizli bir anlaşma yaptı?,Persler
SQuAD Dataset,Türk askerlerinin sayısının azalmasına ne sebep oldu?,hastalık
SQuAD Dataset,Muravyev'i Kar'daki Türkler hakkında kim bilgilendirdi?,Yerel Ermeni nüfusu
SQuAD Dataset,Ömer Paşa'yı Gürcistan'a inişten kim veto etti?,batı güçleri
SQuAD Dataset,"1855 Eylül ayında, Batum'da kaç Türk bulundu?",8000
SQuAD Dataset,Batum'a inerken Türklerin odak noktası neydi?,Sohum Kale
